station,valid, tmpf ,  dwpf ,  relh ,  drct ,  sped ,  mslp ,  p01i ,  vsby ,  presentwx
CMI,2016-01-03 11:53,33.08,23.00,66.11,350.00,10.4,1022.00,0.00,10.00,M
CMI,2016-01-03 12:09,33.08,23.00,66.11,350.00,10.4,M,0.00,10.00,M
CMI,2016-01-03 12:17,33.08,24.08,69.17,350.00,9.2,M,0.00,10.00,M
CMI,2016-01-03 12:53,33.08,24.08,69.17,350.00,10.4,1021.80,0.00,10.00,M
CMI,2016-01-03 13:53,32.00,24.98,75.00,330.00,11.5,1022.00,0.00,10.00,M
CMI,2016-01-03 14:53,32.00,24.08,72.24,340.00,15.0,1022.70,0.00,10.00,M
CMI,2016-01-03 15:53,30.92,24.08,75.46,340.00,12.7,1023.50,0.00,10.00,M
CMI,2016-01-03 16:53,30.02,23.00,74.81,320.00,18.4,1024.30,0.00,10.00,M
CMI,2016-01-03 17:53,28.94,21.92,74.70,340.00,11.5,1025.10,0.00,10.00,M
CMI,2016-01-03 18:53,28.94,21.02,71.91,350.00,11.5,1025.90,0.00,10.00,M
CMI,2016-01-03 19:53,28.94,21.92,74.70,330.00,13.8,1026.00,0.00,10.00,M
CMI,2016-01-03 20:30,28.94,21.92,74.70,330.00,10.4,M,0.00,10.00,M
CMI,2016-01-03 20:53,28.94,21.92,74.70,320.00,13.8,1026.20,0.00,10.00,M
CMI,2016-01-03 21:01,28.94,21.92,74.70,320.00,12.7,M,0.00,10.00,M
CMI,2016-01-03 21:18,28.94,21.92,74.70,330.00,12.7,M,0.00,10.00,M
CMI,2016-01-03 21:53,28.94,21.92,74.70,330.00,13.8,1026.60,0.00,10.00,M
CMI,2016-01-03 22:53,28.94,19.94,68.68,330.00,15.0,1026.70,0.00,10.00,M
CMI,2016-01-03 23:53,28.04,21.02,74.61,330.00,11.5,1026.80,0.00,10.00,M
CMI,2016-01-04 00:53,28.04,17.96,65.47,350.00,16.1,1026.60,0.00,10.00,M
CMI,2016-01-04 01:30,28.04,17.96,65.47,340.00,10.4,M,0.00,10.00,M
CMI,2016-01-04 01:53,28.04,17.96,65.47,340.00,8.1,1027.00,0.00,10.00,M
CMI,2016-01-04 02:53,28.04,17.96,65.47,330.00,13.8,1027.60,0.00,10.00,M
CMI,2016-01-04 03:53,26.96,15.98,62.83,340.00,11.5,1028.00,0.00,10.00,M
CMI,2016-01-04 04:53,24.98,19.04,77.82,320.00,10.4,1028.70,0.00,10.00,M
CMI,2016-01-04 05:53,23.00,17.96,80.71,320.00,8.1,1029.40,0.00,10.00,M
CMI,2016-01-04 06:53,21.92,17.96,84.47,300.00,8.1,1030.10,0.00,10.00,M
CMI,2016-01-04 07:53,23.00,17.96,80.71,310.00,8.1,1030.80,0.00,10.00,M
CMI,2016-01-04 08:53,26.96,19.04,71.69,340.00,12.7,1031.30,0.00,10.00,M
CMI,2016-01-04 09:53,30.02,19.94,65.72,350.00,16.1,1032.10,0.00,10.00,M
CMI,2016-01-04 10:53,32.00,17.96,55.72,360.00,15.0,1032.30,0.00,10.00,M
CMI,2016-01-04 11:53,33.98,17.96,51.47,350.00,15.0,1031.60,0.00,10.00,M
CMI,2016-01-04 12:53,33.98,14.00,43.33,20.00,11.5,1031.30,0.00,10.00,M
CMI,2016-01-04 13:53,33.98,15.98,47.25,360.00,9.2,1031.10,0.00,10.00,M
CMI,2016-01-04 14:53,32.00,17.06,53.60,350.00,5.8,1031.60,0.00,10.00,M
CMI,2016-01-04 15:53,32.00,21.02,63.51,10.00,11.5,1032.70,0.00,10.00,M
CMI,2016-01-04 16:11,32.00,21.92,65.97,10.00,10.4,M,0.00,10.00,M
CMI,2016-01-04 16:29,32.00,21.02,63.51,20.00,12.7,M,0.00,10.00,M
CMI,2016-01-04 16:53,30.92,21.02,66.34,10.00,9.2,1033.50,0.00,10.00,M
CMI,2016-01-04 17:53,30.02,21.02,68.81,30.00,9.2,1033.50,0.00,10.00,M
CMI,2016-01-04 18:53,30.02,19.04,63.24,30.00,8.1,1034.10,0.00,10.00,M
CMI,2016-01-04 19:53,28.94,19.04,66.09,50.00,6.9,1034.50,0.00,10.00,M
CMI,2016-01-04 20:53,28.94,17.96,63.10,60.00,11.5,1034.80,0.00,10.00,M
CMI,2016-01-04 21:53,26.96,17.96,68.44,50.00,9.2,1034.70,0.00,10.00,M
CMI,2016-01-04 22:53,24.08,17.96,77.14,70.00,10.4,1034.80,0.00,10.00,M
CMI,2016-01-04 23:53,21.92,17.06,81.25,70.00,6.9,1034.60,0.00,10.00,M
CMI,2016-01-05 00:53,19.94,15.98,84.33,70.00,8.1,1034.50,0.00,10.00,M
CMI,2016-01-05 01:53,19.94,15.98,84.33,90.00,6.9,1034.40,0.00,10.00,M
CMI,2016-01-05 02:53,19.94,15.98,84.33,90.00,8.1,1034.50,0.00,10.00,M
CMI,2016-01-05 03:53,19.04,15.08,84.27,100.00,6.9,1034.80,0.00,10.00,M
CMI,2016-01-05 04:53,19.94,17.06,88.37,110.00,8.1,1034.70,0.00,10.00,M
CMI,2016-01-05 05:53,19.04,15.98,87.64,120.00,5.8,1035.40,0.00,10.00,M
CMI,2016-01-05 06:53,19.94,17.06,88.37,130.00,8.1,1035.70,0.00,9.00,M
CMI,2016-01-05 07:53,21.92,19.04,88.47,130.00,9.2,1035.80,0.00,7.00,M
CMI,2016-01-05 08:53,26.96,21.92,81.03,150.00,15.0,1035.70,0.00,10.00,M
CMI,2016-01-05 09:53,30.02,23.00,74.81,160.00,15.0,1035.90,0.00,10.00,M
CMI,2016-01-05 10:53,32.00,23.00,69.04,170.00,16.1,1035.20,0.00,10.00,M
CMI,2016-01-05 11:53,33.08,23.00,66.11,170.00,11.5,1033.90,0.00,10.00,M
CMI,2016-01-05 12:53,35.06,21.92,58.37,180.00,12.7,1033.00,0.00,10.00,M
CMI,2016-01-05 13:53,35.06,21.92,58.37,180.00,10.4,1032.10,0.00,10.00,M
CMI,2016-01-05 14:53,35.06,21.92,58.37,170.00,10.4,1031.50,0.00,10.00,M
CMI,2016-01-05 15:53,33.08,21.02,60.81,150.00,10.4,1031.20,0.00,10.00,M
CMI,2016-01-05 16:53,30.92,21.92,68.92,150.00,8.1,1031.10,0.00,10.00,M
CMI,2016-01-05 17:53,28.94,21.92,74.70,140.00,9.2,1030.80,0.00,10.00,M
